제목,저자,역자,글그림,그림,기획,감수,글,출판사,출간일,가격,평점,리뷰수,상세페이지링크,페이지수,카테고리,책 설명
체인소 맨 17,후지모토 타츠키,,,,,,,학산문화사,2024년 08월,5400,9.8,230,https://www.yes24.com/product/goods/130034199,없음,없음,책소개 없음
체인소 맨 9,후지모토 타츠키,,,,,,,학산문화사,2021년 12월,5400,9.9,252,https://www.yes24.com/product/goods/110692548,192,국내도서 만화 라이트노벨 액션,책소개 없음
모두를 위한 한국미술사,유홍준,,,,,,,눌와,2025년 09월,32400,10.0,7,https://www.yes24.com/product/goods/154253945,664,국내도서 예술 미술 미술사 미술가론,"유홍준의 ‘한 권으로 읽는’ 한국미술 통사‘한국미술 전도사’ 유홍준의 ‘한 권으로 읽는 한국미술사’. 총 660쪽, 1천여 개의 도판으로 구석기시대부터 근대에 이르는 한국미술의 전개를 그 사적 맥락과 함께 일목요연하게 정리하면서, 방대한 우리 문화유산 중에서도 정수만을 엄선하여 그 아름다움과 가치를 유려하고 충실하게 전한다. 대중성과 깊이를 모두 갖춘 《모두를 위한 한국미술사》는 소파에 편하게 앉아 읽을 수 있는, 그야말로 ‘모두를 위한’ 한국미술사로서 독자들에게 다가가 한국미술의 변 그 자체를 넓히는 책이 될 것이다."
다시 쓰는 대한민국 부동산 사용설명서,"김학렬, 스마트튜브",,,,,,,에프엔미디어,2025년 10월,24300,10.0,9,https://www.yes24.com/product/goods/153840309,464,국내도서 경제 경영 투자 재테크 부동산,"규제·인구·월세·신도시·교통망, 지금은 옥석을 가릴 시간!★아기곰, 오건영, 윤지호, 이진우, 트루카피 추천!새 정부의 규제 폭탄이 쏟아지는 가운데, 내 집 마련과 투자를 위한 ‘흔들리지 않는 기준’을 담은 책. 앞으로 3년, 집값 상승의 경로를 선점하기 위한 부동산 투자 전략을 제시한다. 스마트튜브 부동산조사연구소 김학렬 소장(필명 빠숑)의 대표작 《대한민국 부동산 사용설명서》 1판이 출간된 지 7년, 부동산 패러다임은 완전히 달라졌다. 그래서 자는 25년 핵심 노하우와 변곡점 대응 전략을 더해 책을 대폭 개정했다. 이번 특별 증보판은 단순 업데이트가 아니라, 달라진 시장에 맞춰 새로 쓴 투자 생존 지침서다.이 책은 흔들리는 시장 속에서도 투자자가 반드시 지켜야 할 ‘원칙’을 제시한다. 금리 향방 vs 대출 억제, 월세 시대, 정책 쇼크 같은 복잡한 변수 속에서도 살아남는 힘은 원칙에 있다. 빠숑은 시장·수요·가격·상품·입지·정책 6대 요소를 중심으로, 서울·비서울 전망, 아파트를 넘어 오피스텔·토지·지식산업센터까지 전방위 분석을 통해 기회의 지도를 펼쳐 보인다.자 김학렬(빠숑)은 25년간 현장에서 데이터를 분석하며 투자자들에게 길잡이가 되어왔다. ‘묻지 마 투자’ ‘자극적 전문가 멘트’를 경계하며 재현 가능한 원칙을 제시해 전문가부터 실거주 매수자까지 폭넓은 지지를 받아왔다. 부동산 투자 전문가 아기곰은 “혼돈과 규제 속 투자 필독서”, ‘삼프로TV’ 진행자 이진우는 “무엇을 사고팔지 제시하는 핀셋 전문가의 책”이라며 강력 추천했다.★격변의 시대, 흔들리지 않는 투자를 위한 6대 핵심 요소· 시장: 금리·규제에도 흔들리지 않는 관점· 수요: 전세 약화, 월세 확대, 인구 이동의 흐름· 가격: 단기 시세보다 구조적 가격을 읽는 법· 상품: 아파트를 넘어 오피스텔·토지·지산까지· 입지: 강남 불패를 잇는 신도시와 지방의 잠재력· 정책: 규제의 반복 속에서 읽어야 할 패턴"
[예스리커버] 프로젝트 헤일메리,앤디 위어,,,,,,,알에이치코리아(RHK),2021년 05월,19800,9.7,633,https://www.yes24.com/product/goods/101375755,692,국내도서 소설 시 희곡 장르소설 SF,“단언컨대 SF소설 중 최고의 책!”2026년 영화 「프로젝트 헤일메리」 전 세계 개봉 전 세계 SF 팬들을 사로잡은 화제의 소설 『프로젝트 헤일메리』는 국내에서도 출간 후 4년간 꾸준히 사랑받으며 “과학과 우주를 사랑하는 사람들에게 짜릿한” 순간을 선사해 왔다. 치열한 판권 경쟁 끝에 MGM에서 제작하게 된 영화는 예고편 공개만으로 2000만 회가 넘는 조회 수가 입증하듯 이제 막바지 작업만을 남겨두고 있어 영화 애호가뿐만 아니라 이 책의 영상화를 간절히 바라온 독자들도 한껏 기대감을 안고 손꼽아 개봉일을 기다리고 있다. 이 시점에 예스 24 한정판 리커버판 라일랜드 그레이스와 로키의 여정에 탑승해 보는 것은 어떨까. 앤디 위어가 세 번째 장편소설을 쓰게 된 계기와 집필에 관한 짤막한 에피소드가 수록된 이번 에디션을 통해 다시금 우주 3부작의 묘미를 느낄 수 있을 것이다.앤디 위어는 데뷔작 『마션』과 후속작 『아르테미스』가 연달아 대성공을 거두며 뉴욕 타임스와 아마존 베스트셀러에 이름을 올린 명실상부 최고의 SF 작가이다. 글을 쓸 때 과학적 사실을 조사하고 검증하는 것으로 정평이 난 작가의 작품인 만큼 흠잡을 데 없는 과학적 지식은 더할 나위 없다. 전작들에 이어 이번 작품에서도 작가의 장기인 과학을 기반으로 한 SF 세계관과 낙관적 감수성이 유감없이 그려졌다. 특히 작가가 치밀하게 구상한 ‘특별한 캐릭터’의 등장은 단연 『프로젝트 헤일메리』의 백미다. 소설은 그 특별한 캐릭터와의 공생과 연대 그리고 인류를 뛰어넘은 우정에 대한 이야기가 주를 이룬다. 지구를 구하기 위해서 정작 스스로는 지구로 돌아오지 못할 헤일메리호에 오른 ‘좋은 사람’인 주인공. 『마션』에서 한 인간을 구하기 위한 인류애를 보여줬다면 이번에는 전 인류를 구하기 위한 한 인간의 사명감과 애정이 한층 진하게 펼쳐진다. 앤디 위어의 세계는 더욱 깊어지고 넓어졌다.
열다섯에 곰이라니,추정경,,,,,,,다산책방,2022년 12월,11700,9.7,70,https://www.yes24.com/product/goods/116422051,256,국내도서 청소년 청소년 문학,"창비청소년문학상 수상작가 추정경 신작“속보입니다. 전국의 사춘기 아이들이동물로 변하고 있습니다!”『벙커』 『내 이름은 망고』 등으로 독자들에게 오래도록 사랑받고 있는 추정경 작가가 새 장편소설로 돌아왔다. 『열다섯에 곰이라니』는 정체불명의 현상으로 갑작스럽게 동물이 되어버린 아이들의 우여곡절 성장기를 담은 작품으로, 곰이 된 태웅을 비롯해 기린, 비둘기, 하이에나 등 제각기 다른 동물로 변한 아이들의 이야기가 옴니버스식으로 펼쳐진다. 자신의 성격을 조금씩 품고 있는 동물로 변해 버린 여덟 아이의 이야기를 통해 사춘기를 지나고 있는 십 대들의 현실과 고민을 엿볼 수 있다."
료의 생각 없는 생각,료,,,,,,,열림원,2025년 06월,18000,9.0,102,https://www.yes24.com/product/goods/147561112,양,국내도서 에세이 한국 에세이,"런던베이글뮤지엄 브랜드 총괄 디렉터 료의 첫 산문집『료의 생각 없는 생각』 출간!‘런던베이글뮤지엄’, ‘아티스트베이커리’, 카페 ‘하이웨스트,’ ‘레이어드’ 등의 감각적 공간 브랜드를 창업하고, 브랜드를 전국의 ‘빵지순례객’들이 찾는 명소로 만든 사람, 료. 그녀가 창조한 공간은 ‘꾸며진 컨셉’이 아닌, 감정이 축적된 풍경이다. 수많은 사람들이 줄 서는 공간을 만든 그녀는 브랜드보다 오래 남는 감각과 마음을 믿는다. 그 믿음은 그녀가 만들어온 시간의 결, 그리고 켜켜이 쌓인 감정의 레이어 속에 고스란히 담겨 있다. 그 다층적인 시간과 감정을 자신만의 언어로 길어 올려, 첫 산문집 『료의 생각 없는 생각』에 담아냈다. 언제나 말보다 시선을 먼 보내는 그녀의 문장은 조용하지만 단단하다. 장르와 형식에 갇히지 않고, 온전히 ‘나다움’을 지켜내는 그녀의 글은 얼핏 가벼운 일상의 스케치처럼 보이지만, 그 안에는 삶에 대한 깊은 애정, 인간을 향한 다정한 시선, 그리고 자기 자신에 대한 끊임없는 질문이 담겨 있다."
양면의 조개껍데기,김초엽,,,,,,,래빗홀,2025년 08월,15750,9.8,61,https://www.yes24.com/product/goods/151848326,384,국내도서 소설 시 희곡 장르소설 SF,"“더 기다릴 수가 없었어요.지금 당신을 만나러 와야 했어요.”김보영 배명훈 이다혜 정보라 정소연 추천반짝이는 슬픔, 경계 없는 사랑을 발견하는김초엽 4년 만의 세 번째 소설집경계 밖을 이해하고자 갈망하고, 마음을 잘 전달하고 싶어서 고군분투하는 한계가 우리가 지닌 희미한 빛이자 가능성이기도 하지 않을까요. 여기 담긴 소설들은 그 한계와 가능성을 여러 각도에서 바라보려고 애쓴 이야기라고 할 수 있을 것 같아요. (김초엽 인터뷰 중에서)2010년대 한국 SF의 새 사를 썼다고 평가받는 작가 김초엽이 데뷔 8년 차를 맞는 2025년 여름 신작 소설집 《양면의 조개껍데기》로 우리를 찾아왔다. ‘매번 완전히 다른 이야기인데 친숙하게 황홀한 맛’이라는 어느 독자의 말처럼, 김초엽은 소설적 실험을 꾸준히 감행하면서도 성실한 자료 조사와 더불어 인간과 관계에 대한 깊은 사유를 담아내는 완성도 높은 이야기를 통해 우리에게 실패하지 않는 독서 경험을 선사해왔다.이번 책에는 인간성의 본질에 관해 다각적으로 질문을 던지는 총 7편의 중단편소설이 담겼다. “인간의 재료가 달라진다면 인간과 세계의 상호작용도 바뀌지 않을까?”라는 도발적인 질문과 함께 욕망과 의지의 문제를 다루는 〈수브다니의 여름휴가〉, 한 몸에 존재하는 두 인격체가 한 사람을 사랑하게 되면서 벌어지는 갈등을 보여주는 〈양면의 조개껍데기〉는 사회의 ‘정상성’ 규범 밖에 존재했던 정체성을 있는 그대로 이해하고 수용하게 되는 과정을 담는다. ‘탐색 연작’이라고 불릴 만한 〈고요와 소란〉 〈달고 미지근한 슬픔〉 〈비구름을 따라서〉는 SF에서 익숙하게 볼 수 있는 고차원적 존재, 서버로 이주한 인류, 평행 세계 등을 다루면서도 인간이 가지고 있는 주관적 해석의 한계나, 기존의 방식으로 설명할 수 없는 자아 형식, 얽힘으로써 고정되는 존재 등 여러 시각이 중첩된 문제들을 탐구하여 소설의 깊이와 재미를 더한다. 촉각으로 메시지를 전하는 문명을 다룬 〈진동새와 손편지〉, “한 번은 돌아와야 한다. 알겠지? 그래야 다시 나아갈 수도 있다”라는 할머니의 당부 아래 길 잃은 고래와 도시로 떠났던 청년의 귀향이 겹쳐지는 〈소금물 주파수〉 또한 흥미로운 전개 끝에 눈물의 펀치라인이 준비되어 있는 작품들이다.인간을 정의하는 방식을 시대에 따라 변화하지만, 작가는 “우리가 스스로 부여하고 싶은 고유성, 끝내 붙들고 싶은 어떤 소중한 가치가 있다면 그건 오히려 인간이 가지고 있는 근원적 한계에 있을 것 같”다는 이야기를 남긴다. 항상 엇갈리면서도, 불완전한 대화 끝에 오해하고 돌아서더라도, 끝까지 놓지 않는 작은 믿음이 김초엽의 소설에 남아 있다. 언제나처럼, 아주 작은 가능성의 빛으로."
그래서 이런 나라가 생겼대요,우리누리,,,,,,,길벗스쿨,2025년 09월,13500,10.0,33,https://www.yes24.com/product/goods/154253853,164,국내도서 어린이 3-4학년 3-4학년 학습 3-4학년 사회 문화 시사,"책으로 떠나는 세계 사·문화 여행어렵고 낯선 세계 나라 상식을 쉽고 즐겁게 익혀요!우리가 사는 지구에는 크고 작은 나라들이 200여 개나 있어요. 그중에는 우리가 잘 아는 나라도 있지만, 이름조차 생소한 나라도 있을 거예요. 오늘날 우리는 이처럼 많은 나라와 서로 밀접한 영향을 주고받으며 살고 있어요.『그래서 이런 나라가 생겼대요』는 어린이가 꼭 알아야 할 세계 주요 나라의 사와 문화를 유쾌한 네 칸 만화와 짤막한 이야기로 재미있게 소개하는 책이에요. 각 나라가 생겨난 배경을 통해 세계사는 물론 복잡한 국제 문제를 자연스럽게 익힐 수 있어요. 또한 각국의 독특한 문화와 생활 방식도 두루 알려 줘서 세상을 이해하는 힘이 쑥쑥 자란답니다.이 책을 통해 세계 방방곡곡을 탐험하다 보면 어느새 다른 나라가 가깝고 친근하게 느껴질 거예요."
행복할 거야 이래도 되나 싶을 정도로,일홍,,,,,,,부크럼,2024년 07월,16200,9.8,215,https://www.yes24.com/product/goods/129775130,304,국내도서 에세이 한국 에세이,"당신의 행복을 찾아 주고 싶다이렇게 행복해도 되나 싶을 정도로이런 하루가, 이런 인생이 좋다고 말할 정도로10만 독자의 행복을 채집해 줄 일홍 작가의 응원하루를 버텨 내는 긍정과 용기의 문장들오늘 당신은 어떤 하루를 보냈을까. 계획했던 일이 틀어지지는 않았는지, 노력했던 일을 해내지 못하진 않았는지, 그런 스스로가 괜히 나약해 보이지는 않았는지. 어쩌다 했던 작은 실수가 눈앞에 어른거리기도 하겠다. 하루를 열심히 살아 내고 또 나아가고자 도전하는 당신에게 틀림없는 행복이 찾아올 거라 확신을 주는 『행복할 거야 이래도 되나 싶을 정도로』. 매일을 버텨 내고 있는 당신이 가슴 깊이 새겨 두면 좋을 글이 가득하다.『그게 너였으면 좋겠다』, 『잘 살고 싶은 마음이 어렵게 느껴질 때』로 수많은 독자의 사랑을 받은 작가 일홍, 이번에는 일상 속에서 애쓰고 있는 당신의 낮과 밤에 행복을 불어넣어 주고자 펜을 들었다. 『행복할 거야 이래도 되나 싶을 정도로』는 당신에게 삶을 긍정하는 방법을 선명하게 열어 줄 안내서가 되어 줄 것이다. 삶의 어쩔 수 없는 좌절과 마음의 소란을 버텨 내는 노력이, 독자로 하여금 깊은 공감을 하게 만들고 그 공감은 나 홀로 힘든 게 아니라는 위안이 되어 줄 것이다. 더 나은 이가 되려 노력하는 당신의 곁에 행복이 항상 존재함을 깨달았으면 하는 마음이다.이 도서의 한 페이지를 펼치면 지금보다 더 괜찮은 하루를 살아갈 수 있다는 단단한 믿음과 그 시간을 응원하는 글들이 반겨 줄 것이다. 감성적인 문장과 위로의 메시지에는 당신의 인생이 빛나고 있음을 확신하고 있다. 당신이 매시간 얼마나 힘쓰고 있는지 누구보다도 잘 안다고, 그러니 그 애씀의 끝에는 마침내 믿을 수 없을 만큼의 행복이 펼쳐질 거라고. 그렇게 다정하면서도 공감할 수 있는 문장들로 작가는 당신의 지친 마음을 보듬어 주고자 한다. 당신의 열정은 헛되지 않았다. 그 기간은 더욱 성숙한 당신으로 변화하기 위한 나날들이었다고.“행복은 고생 끝에 오는 게 아니라 처음부터 끝까지 언제나 존재하는 것.”작가는 ‘지금 무엇이든 행복이라 느낄 수 있다면, 언제나 행복할 수 있다는 것을 명심하며 살아가려 한다.’라고 말한다. 당신도 다양한 곳에서 행복을 찾으면 매일이 안온할 테다. 그렇게 오늘 하루도 괜찮았다고, 이런 행복이 끝없이 이어질 거라 믿기를.행복을 찾지 못하고 애꿎은 곳만 두리번거리는 이의 손바닥 위에 『행복할 거야 이래도 되나 싶을 정도로』는 굳은 응원을 건네주고자 한다. 부단히 걸어온 길 위에서 반짝이는 행복을 건져 주는 유일한 도서, 『행복할 거야 이래도 되나 싶을 정도로』."
